SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family
Fis-22786,160,Lutjanus,madras,Indian snapper,33,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22787,161,Lutjanus,mahogoni,Mahogany snapper,183,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22788,162,Lutjanus,malabaricus,Malabar blood snapper,561,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22790,166,Lutjanus,monostigma,One-spot snapper,371,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22772,167,Callorhinchus,capensis,Cape elephantfish,150,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae
Fis-22791,168,Lutjanus,notatus,Bluestriped snapper,30,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29441,169,Lutjanus,novemfasciatus,Pacific dog snapper,127,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22792,170,Lutjanus,peru,Pacific red snapper,79,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22220,171,Lutjanus,purpureus,Southern red snapper,119,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22793,172,Lutjanus,quinquelineatus,Five-lined snapper,261,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22794,173,Lutjanus,rivulatus,Blubberlip snapper,218,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29369,175,Elops,saurus,Ladyfish,177,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae
Fis-53903,176,Lutjanus,russellii,Russell's snapper,392,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22796,177,Lutjanus,sanguineus,Humphead snapper,61,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22797,178,Lutjanus,sebae,Emperor red snapper,623,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29442,179,Lutjanus,semicinctus,Black-banded snapper,112,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22798,181,Lutjanus,synagris,Lane snapper,491,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-21518,182,Lutjanus,timoriensis,Timor snapper,26,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22800,183,Lutjanus,viridis,Blue and gold snapper,91,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22801,184,Lutjanus,vitta,Brownstripe red snapper,559,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22802,185,Lutjanus,vivanus,Silk snapper,186,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29444,186,Macolor,macularis,Midnight snapper,184,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22803,187,Macolor,niger,Black and white snapper,348,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
